text,label,Experience of Unity,Spiritual Experience,Blissful State,Insightfulness,Disembodiment,Impaired control and cognition,anxiety,Complex imagery,elementary imagery,audio-visual synesthesiase,Changed meaning of percepts,Oceanic Boundlessness,Ego-Dissolution,Visionary Restructuralization,Additional Items of Secondary Scale
Some people have the experience of feeling that other people  objects  and the world around them are not real,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some people have the experience of feeling that their body does not seem to belong to them,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some people find that they sometimes are able to ignore pain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sometimes I get this weird feeling that parts of my body feel like they re dead or not really me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10    Having an emotion  for example  fear  sadness  anger  happiness  that doesn t feel like it is yours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strong feelings of emotional pain and hurt that come from out of nowhere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not being able to keep friends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudden strong feelings of anger that seem to come from out of nowhere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling like some of your behavior isn t really yours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling the presence of an angry part in your head that tries to control what you do or say,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Very strong feelings  for example  fear  or anger  or emotional pain and hurt  that suddenly go away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling the presence of an angry part in your head that seems to hate you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Having a very negative emotional state  afraid  angry  guilty  ashamed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not being able to have positive feelings  being happy  having loving feelings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling irritable or having angry outbursts without a good reason and taking it out on other people or things,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41   Things around you suddenly seeming strange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Part of your body  for example  arm  leg  head  etc   seems to disappear and doesn t reappear for several days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Things around you seeming to change size or shape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suddenly feeling very small  like a young child,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling that your feet or hands  or other parts of your body  have changed in size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Things in your home disappear or get moved around  and you don t know how this is happening,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Do everyday things seem unusually large or small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
It s weird  but sometimes ordinary objects seem to be a different shape than usual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sometimes when I look at a familiar object  it s somehow like I m seeing it for the first time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63   Hearing the voice of a child in your head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing voices in your head that argue or converse with one another,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing a voice in your head that tries to tell you what to do,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing a voice in your head and  at the same time  seeing an image of that person or of that voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing a voice in your head that wants you to hurt yourself,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing a lot of noise or yelling in your head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing voices  which come from unusual places  for example  the air conditioner  the computer  the walls  etc    that try to tell you what to do,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing voices crying in your head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing a voice in your head that calls you names  for example  wimp  stupid  whore  slut  bitch  etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing a voice in your head that wants you to die,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing a voice in your head that keeps talking about AIDS and homosexuals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing sounds from nearby as if they were coming from far away  for no known medical reason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing a voice in your head that calls you a liar or tells you that certain events never happened,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing a voice in your head that tells you to shut up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing a voice in your head that calls you no good  worthless  or a failure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing a voice in your head that is soothing  helpful  or protective,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some people sometimes find that they hear voices inside their head that tell them to do things or comment on things that they are doing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6   Having pain in your genitals  for no known medical reason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Having difficulty swallowing  for no known medical reason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Having no feeling at all in your body  for no known medical reason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not being able to see for a while  as if you are blind   for no known medical reason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Being paralyzed or unable to move  for no known medical reason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not being able to hear for a while  as if you are deaf   for no known medical reason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Having difficulty walking  for no known medical reason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Having seizures for which your doctor can find no reason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling no pain  when you should have felt pain   for no known medical reason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Having pain while urinating  for no known medical reason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Having tunnel vision  where your visual field narrows down to just a tunnel   for no known medical reason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49   Having another personality that sometimes takes over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling that your mind or body has been taken over by a famous person  for example  Elvis Presley  Jesus Christ  Madonna  President Kennedy  etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling that pieces of your past are missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling that important things happened to you earlier in your life  but you can not remember them,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling that you have multiple personalities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Having another part inside that has different memories  behaviors  and feelings than you do,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xa0I can become entirely absorbed in thinking about my personal affairs  my health  my cares or my relations to others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I easily become wrapped up in my own interests and forget the existence of others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I felt like my life was falling apart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My ideas about life have changed dramatically in the past,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24   Hearing yourself talk  but you don t feel that you are choosing the words that are coming out of your mouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coming to in the middle of a conversation with someone and having no idea what you and that person have been talking about  you didn t even know that you were having a conversation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Your thoughts being broadcast so that other people can actually hear them,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Words just flowing from your mouth as if they were not in your control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Listening to someone and realizing that you did not hear part of what heshe said,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Words come out of your mouth  but you didn t say them  you don t know where those words came from,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some people find that sometimes they are listening to someone talk and they suddenly realize that they did not hear part or all of what was said,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some people sometimes find that when they are alone they talk out loud to themselves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I often hear a voice speaking my thoughts aloud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Are your thoughts sometimes so strong that you can almost hear them,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I sometimes have heard things that others couldn t hear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53   Forgetting errands that you had planned to do,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finding something that has been done  for example  the lawn mowed  the kitchen painted  a task at work completed  etc    that you don t remember doing  but knowing that you must be the one who did it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Discovering that you have changed your appearance  for example  cut your hair  or changed your hairstyle  or changed what you are wearing  or put on cosmetics  etc   with no memory of having done so,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Discovering that you have a significant injury  for example  a cut  or a burn  or many bruises   and having no memory of how it happened,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coming to and finding that you have done something you don t remember doing  for example  smashed something  cut yourself  cleaned the whole house  etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Discovering that you have attempted suicide  but having no memory of having done it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not remembering what happens when you drive a familiar route in your car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some people have the experience of driving or riding in a car or bus or subway and suddenly realizing that they don t remember what has happened during all or part of the trip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some people have the experience of not being sure whether things that they remember happening really did happen or whether they just dreamed them,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some people sometimes find that they can not remember whether they have done something or have just thought about doing it  for example  not knowing whether they have just mailed a letter or have just thought about mailing it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some people find evidence that they have done things that they do not remember doing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34   Trying to make someone jealous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Being rejected by others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I try to avoid rejection at all costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Being overly alert or on guard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Being jumpy or easily startled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I m always on my guard for someone trying to trick or harm me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47   Feeling as if close friends  relatives  or your own home seems strange or foreign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling very detached from your behavior as you go through the motions of daily life,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling the presence of an old man inside you who wants to read his newspaper or go to the bathroom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling disconnected from everything around you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling as if you are two different people  one who is going through the motions of daily life and the other who is just watching,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling that your surroundings  or other people  were fading away or disappearing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling like you are inside yourself  watching what you are doing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling distant or removed from your thoughts and actions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling as if there is something inside you that takes control of your behavior or speech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling that there is another person inside you who can come out and speak if it wants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling that another part or entity inside you tries to stop you from doing or saying something,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling distant or cut off from people around you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I have periods in which I feel disconnected from the world or from myself,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60   Reliving a traumatic event so vividly that you totally lose contact with where you actually are  that is  you think that you are back there and then,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Having traumatic flashbacks that make you want to inflict pain on yourself,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reexperiencing body sensations from a past traumatic event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Having traumatic flashbacks that make you want to die,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reliving a past trauma so vividly that you see it  hear it  feel it  smell it  etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reliving a traumatic event so totally that you think that a presentday person is actually a person from the trauma  for example  being home with your partner  suddenly reliving being raped by your alcoholic uncle  and actually thinking that your partner is your uncle  that is  you see your uncle in front of you instead of seeing your partner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Having snapshots of past trauma that suddenly flash in your mind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Having nightmares about a trauma from your past,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some people have the experience of sometimes remembering a past event so vividly that they feel as if they were reliving that event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40   Having trancelike episodes where you stare off into space and lose awareness of what is going on around you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Going into trance so much  or for so long  that it interferes with your daily activities and responsibilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Going into trance for hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drifting into trance without even realizing that it is happening,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Being bothered by how much you trance out,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Going into trance several days in a row,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Having trancelike episodes during which you see yourself being taken into a spaceship and experimented on by aliens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Going into trance and being possessed by a spirit or demon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Having difficulty staying out of trance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17   Being puzzled by what you do or say,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling like you re only partially there  or not really there at all,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling divided  as if you have several independent parts or sides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling that the color of your body is changing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling split or divided inside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling mad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not being able to remember something  but feeling that it is right on the tip of your tongue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling hurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling that your vision was suddenly sharper or that colors suddenly seemed more vivid or more intense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not feeling together  not feeling whole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Being confused or puzzled by your emotions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I had difficulty naming and labeling what I was feeling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I like the feeling of standing next to the edge on a high place and looking down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
People tell me it s difficult to know what I m feeling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46   Seeing images of a child who seems to live in your head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing outside of your body  watching yourself as if you were another person,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Looking in the mirror and seeing someone other than yourself,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noticing the presence of a child inside you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some people sometimes have the experience of feeling as though they are standing next to themselves or watching themselves do something and they actually see themselves as if they were looking at another person,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Looking out for myself is my top priority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
When I enter a room I often become selfconscious and feel that the eyes of others are upon me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
When shopping do you get the feeling that other people are taking notice of you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Do you sometimes feel that other people are watching you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33   Being told of things that you had recently done  but with absolutely no memory of having done those things,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Having blank spells or blackouts in your memory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Being unable to remember who you are,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Being unable to remember your name  or age  or address,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not remembering large parts of your childhood after age 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling that there are large gaps in your memory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Being able to remember very little of your past,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Being unable to recall something  then  something jogs your memory and you remember it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not being able to remember important events in your life  for example  your wedding day  the birth of your child  your grandmother s funeral  taking your final exams  etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poor memory causing serious difficulty for you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Being told about things that you did  that you don t remember doing and would never do  for example  swearing like a sailor  being very mad  acting like a young child  or being very sexual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some people find that they have no memory for some important events in their lives  for example  a wedding or graduation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not being able to remember an important part of a stressful event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64   Thoughts being imposed on you or imposed on your mind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strong thoughts in your head that come from out of nowhere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Your mind being controlled by an external force  for example  microwaves  the CIA  radiation from outer space  etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Your mind blocking or going totally empty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Something in your mind interferes when you think about things that you shouldn t think about,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thoughts coming into your mind that you can not stop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thinking about nothing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Having thoughts that don t really seem to belong to you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some thoughts are suddenly taken away from you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling like some of your thoughts are removed from your mind  by some force or by some other part of you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I find it difficult to control my thoughts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
It s hard for me to shut off a disturbing thought,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I find it easy to dismiss worrisome thoughts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I often can t control what I think about,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sometimes I feel controlled by thoughts that belong to someone else,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sometimes I think someone else is removing thoughts from my head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15   Pretending that something upsetting happened to you so that others would care about you  for example  being raped  military combat  physical or emotional abuse  sexual abuse  etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pretending that you have a physical illness in order to get sympathy  for example  flu  cancer  headache  having an operation  etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talking to others about how you have been hurt or mistreated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talking to others about very serious traumas that you have experienced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exaggerating the symptoms of a physical illness  that you genuinely have  in order to get sympathy or attention  for example  flu  cold  headache  fever  pain  etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seeing or talking with others who have the same disorder that you have,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desperately wanting to talk to someone about your pain or distress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Telling others about your psychological disorder  s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exaggerating the symptoms of a psychological illness  that you genuinely have  in order to get sympathy or attention  for example  depression  bulimia  posttraumatic stress disorder  memory blackouts  being suicidal  etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9   Nobody cares about you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I do nt like people to pry into my life for any reason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I am much like everybody else,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For me  what s right is whatever I can get away with,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I do nt care to know what other people really think of me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
It s all right with me if some people happen to dislike me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I never take things that do nt belong to me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plenty of people are out to get me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I don t care about other people s feelings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I don t care about other peoples problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I simply won t put up with things being out of their proper places,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45    Losing a chunk of time and having a total blank for it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
When something upsetting happens  you go blank and lose a chunk of time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling like time slows down or stops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suddenly realizing that hours have gone by and not knowing what you were doing during that time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I often zone out and then suddenly come to and realize that a lot of time has passed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71   Having strong impulses to do something  but the impulses don t feel like they belong to you,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My movements are automatic  my body simply makes them,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The decision whether and when to act is within my hands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
While I am in action  I feel like I am a remote controlled robot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I feel like I act totally on impulse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I usually do things on impulse without thinking about what might happen as a result,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I usually think before I act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I believe that some people can move things with their minds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7   Feeling empty and painfully alone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wishing you knew why you feel and behave the way you do,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Have you chronically felt empty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
think about how you don t feel up to doing anything,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
think about how you don t seem to feel anything anymore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
think about a recent situation  wishing it had gone better,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
think about how sad you feel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
go someplace alone to think about your feelings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
think about how alone you feel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
go away by yourself and think about why you feel this way,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I do not feel sad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I often feel like nothing I do really matters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nothing seems to make me feel good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everything seems pointless to me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99   Things around you feeling unreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not being sure about what is real  and what is unreal  in your surroundings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Have you frequently felt unreal or as if things around you were unreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Things around me often feel unreal  or more real than usual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70   Finding things at home  for example  shoes  clothes  toys  toilet articles  etc    that you don t remember buying,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finding things in your shopping bags  which you don t remember buying,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I have saved up so many things that they get in the way,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I collect things I do nt need,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I avoid throwing things away because I am afraid I might need them later,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some people have the experience of finding new things among their belongings that they do not remember buying,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
When I was young I sometimes stole things,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39   Being in a familiar place  but finding it strange and unfamiliar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Some people have the experience of finding themselves in a place and having no idea how they got there,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
